,pitch_complexity
output/sonata29-3_fragment_29.musicxml,8.09796769150599
output/sonata08-1_fragment_26.musicxml,2.0
output/sonata18-2_fragment_30.musicxml,3.2
output/sonata03-4_fragment_22.musicxml,1.75
output/sonata26-1_fragment_23.musicxml,1.7291781577495864
output/sonata15-4_fragment_43.musicxml,1.256830601092896
output/sonata18-3_fragment_1.musicxml,1.5635474860335195
output/sonata01-1_fragment_23.musicxml,1.75
output/sonata26-1_fragment_9.musicxml,0.7935606060606061
output/sonata05-3_fragment_21.musicxml,2.1642041127189646
output/sonata20-1_fragment_17.musicxml,1.4517073170731707
output/sonata09-2_fragment_15.musicxml,0.5693301997649823
output/sonata18-2_fragment_8.musicxml,3.884393063583815
output/sonata05-1_fragment_51.musicxml,0.7168234064785789
output/sonata12-1_fragment_16.musicxml,4.370263788968826
output/sonata02-1_fragment_18.musicxml,3.466666666666667
output/sonata30-2_fragment_42.musicxml,0.85
output/sonata12-2_fragment_24.musicxml,1.1029411764705883
output/sonata02-2_fragment_11.musicxml,1.8478129713423832
output/sonata29-1_fragment_18.musicxml,1.3800925925925926
output/sonata02-3_fragment_3.musicxml,2.428571428571429
output/sonata18-2_fragment_23.musicxml,5.333333333333334
output/sonata27-1_fragment_48.musicxml,4.358490566037737
output/sonata03-1_fragment_20.musicxml,2.1038297872340426
output/sonata03-2_fragment_10.musicxml,4.226461038961039
output/sonata21-4_fragment_22.musicxml,0.9537037037037037
output/sonata04-1_fragment_89.musicxml,3.5368226030569705
output/sonata11-1_fragment_15.musicxml,1.646551724137931
output/sonata16-3_fragment_29.musicxml,1.6964285714285714
output/sonata01-1_fragment_24.musicxml,2.333333333333333
output/sonata31-3_fragment_30.musicxml,8.058352328231843
output/sonata30-2_fragment_40.musicxml,1.7609195402298852
output/sonata13-1_fragment_7.musicxml,3.002258610954263
output/sonata23-3_fragment_47.musicxml,2.666666666666667
output/sonata22-1_fragment_19.musicxml,1.663003663003663
output/sonata16-2_fragment_26.musicxml,2.2113856068743285
output/sonata08-1_fragment_43.musicxml,1.1525157232704404
output/sonata19-2_fragment_14.musicxml,1.6585365853658538
output/sonata04-4_fragment_2.musicxml,3.8162962962962963
output/sonata23-2_fragment_11.musicxml,2.8
output/sonata23-1_fragment_60.musicxml,2.297554347826087
output/sonata15-4_fragment_21.musicxml,1.5332397003745317
output/sonata15-1_fragment_21.musicxml,1.25
output/sonata15-1_fragment_19.musicxml,1.2916666666666667
output/sonata17-1_fragment_14.musicxml,1.164179104477612
output/sonata03-2_fragment_16.musicxml,4.774358974358974
output/sonata07-4_fragment_24.musicxml,2.6196581196581197
output/sonata07-1_fragment_17.musicxml,0.9468085106382979
output/sonata24-2_fragment_41.musicxml,2.0
output/sonata21-3_fragment_14.musicxml,2.8264915161466884
output/sonata26-3_fragment_12.musicxml,4.446428571428572
output/sonata22-1_fragment_29.musicxml,2.527950310559006
output/sonata11-4_fragment_39.musicxml,3.167136150234742
output/sonata02-1_fragment_17.musicxml,3.4358974358974357
output/sonata18-4_fragment_62.musicxml,2.0
output/sonata18-4_fragment_17.musicxml,2.0
output/sonata27-2_fragment_50.musicxml,2.2894736842105265
output/sonata15-1_fragment_49.musicxml,1.8461538461538463
output/sonata21-1_fragment_33.musicxml,2.331932773109244
output/sonata02-4_fragment_16.musicxml,2.9667569564146765
output/sonata16-3_fragment_27.musicxml,1.7518220176448023
output/sonata06-1_fragment_27.musicxml,3.714285714285713
output/sonata18-2_fragment_37.musicxml,4.711864406779661
output/sonata10-3_fragment_2.musicxml,3.666666666666667
output/sonata05-1_fragment_60.musicxml,1.7
output/sonata03-1_fragment_48.musicxml,1.7913978494623657
output/sonata17-1_fragment_53.musicxml,1.3076923076923077
output/sonata26-1_fragment_41.musicxml,2.4026696329254733
output/sonata29-4_fragment_99.musicxml,2.333333333333333
output/sonata26-3_fragment_5.musicxml,2.8909090909090907
output/sonata10-1_fragment_22.musicxml,4.75
output/sonata10-3_fragment_5.musicxml,2.1641025641025644
output/sonata22-2_fragment_42.musicxml,4.064367816091954
output/sonata14-3_fragment_14.musicxml,2.8421052631578947
output/sonata05-2_fragment_4.musicxml,4.222575516693164
output/sonata31-1_fragment_21.musicxml,3.61437908496732
output/sonata30-2_fragment_31.musicxml,1.0158730158730158
output/sonata22-2_fragment_34.musicxml,4.0
output/sonata15-1_fragment_107.musicxml,1.7692307692307692
output/sonata04-1_fragment_45.musicxml,1.8333333333333335
output/sonata15-1_fragment_13.musicxml,1.1125
output/sonata03-1_fragment_57.musicxml,1.7202380952380956
output/sonata31-2_fragment_14.musicxml,1.375
output/sonata14-3_fragment_0.musicxml,3.1036866359447006
output/sonata29-4_fragment_69.musicxml,0.875
output/sonata23-3_fragment_42.musicxml,5.0
output/sonata31-2_fragment_26.musicxml,1.9802631578947367
output/sonata31-3_fragment_32.musicxml,6.570083682008371
output/sonata29-2_fragment_8.musicxml,2.127450980392157
output/sonata05-3_fragment_5.musicxml,1.3476190476190477
output/sonata24-2_fragment_15.musicxml,2.8777777777777778
output/sonata29-1_fragment_98.musicxml,3.1948275862068964
output/sonata18-4_fragment_68.musicxml,2.0
output/sonata20-2_fragment_13.musicxml,1.6575757575757577
output/sonata22-2_fragment_21.musicxml,3.0
output/sonata29-4_fragment_58.musicxml,2.5710526315789473
output/sonata30-3_fragment_11.musicxml,3.822857142857144
output/sonata18-1_fragment_57.musicxml,1.6799999999999997
output/sonata27-1_fragment_44.musicxml,3.458640621885589
output/sonata23-1_fragment_33.musicxml,3.487603305785124
output/sonata15-2_fragment_15.musicxml,3.0899665551839464
output/sonata26-1_fragment_21.musicxml,0.9857142857142858
output/sonata05-1_fragment_62.musicxml,1.25
output/sonata32-2_fragment_19.musicxml,14.05691012761336
